TBEG "ZUORDNUNG_CAN_ID_SG"
HEAD "INDEX", "CAN_ID_DEZ", "CAN_ID_HEX", "CAN_ID_NAME", "DIAG_ID_DEZ", "DIAG_ID_HEX", "SG_NAME"
LINE "002", "981", "0x3D5", "Status central locking CKM [4]", "64", "0x40", "CAS"
LINE "003", "253", "0xFD", "Control window lifter BFTH [5]", "0", "0x0", "JBBF"
LINE "004", "957", "0x3BD", "Status consumer shutdown [2]", "114", "0x72", "FRMFA"
LINE "005", "1152", "0x480", "Network management", "0", "0x0", "JBBF"
LINE "006", "1266", "0x4F2", "Network management", "114", "0x72", "FRMFA"
LINE "007", "1248", "0x4E0", "Network management", "96", "0x60", "Kombi"
LINE "008", "128", "0x80", "SYNC [6]", "41", "0x29", "EHB3"
LINE "009", "133", "0x85", "Synchronization SC VDA (4)", "41", "0x29", "EHB3"
LINE "010", "168", "0xA8", "Torque 1 K-CAN (11)", "18", "0x12", "DME1 / DDE1"
LINE "011", "169", "0xA9", "Torque 2 [10]", "18", "0x12", "DME1 / DDE1"
LINE "012", "170", "0xAA", "Torque 3 K-CAN [10]", "18", "0x12", "DME1 / DDE1"
LINE "013", "172", "0xAC", "Wheel torque drive train 2 (6)", "18", "0x12", "DME1 / DDE1"
LINE "014", "173", "0xAD", "Delay request ACC [9]", "28", "0x1C", "LDM"
LINE "015", "177", "0xB1", "Torque request steering [1]", "41", "0x29", "EHB3"
LINE "016", "177", "0xB1", "Torque request steering [1]", "22", "0x16", "AFS"
LINE "017", "180", "0xB4", "Wheel torque drive train 1 (5)", "18", "0x12", "DME1 / DDE1"
LINE "018", "181", "0xB5", "Torque request EGS [9]", "24", "0x18", "EGS_EL"
LINE "019", "182", "0xB6", "Torque request DSC [7]", "41", "0x29", "EHB3"
LINE "020", "183", "0xB7", "Torque request ACC [10]", "28", "0x1C", "LDM"
LINE "021", "184", "0xB8", "Torque request DKG [4]", "28", "0x1C", "LDM"
LINE "022", "186", "0xBA", "gearbox data (22)", "24", "0x18", "EGS_EL"
LINE "023", "187", "0xBB", "Target torque request [8]", "41", "0x29", "EHB3"
LINE "024", "188", "0xBC", "Status target torque conversion [7]", "25", "0x19", "VGSG"
LINE "025", "190", "0xBE", "Alive Counter [12]", "35", "0x23", "ARS_Modul"
LINE "026", "191", "0xBF", "Request wheel torque drive train [6]", "41", "0x29", "EHB3 / DXC_RB / DSC_CT"
LINE "027", "191", "0xBF", "Request wheel torque drive train [6]", "28", "0x1C", "LDM"
LINE "028", "192", "0xC0", "Alive Central Gateway [1]", "0", "0x0", "JBBF"
LINE "029", "193", "0xC1", "Alive counter telephone [3]", "54", "0x36", "TEL_JAP / TEL_BPI"
LINE "030", "193", "0xC1", "Alive counter telephone [3]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "031", "196", "0xC4", "Steering wheel angle K-CAN [13]", "41", "0x29", "EHB3"
LINE "032", "200", "0xC8", "Steering wheel angle top F-CAN [10]", "2", "0x2", "SZL_LWS / SZL_LWS"
LINE "033", "201", "0xC9", "Steering wheel angle top 2 F-CAN [4]", "2", "0x2", "SZL_LWS"
LINE "034", "206", "0xCE", "Wheel speed F-CAN [6]", "41", "0x29", "EHB3 / EHB3"
LINE "035", "213", "0xD5", "Request wheel torque brake (7)", "41", "0x29", "EHB3"
LINE "036", "213", "0xD5", "Request wheel torque brake (7)", "28", "0x1C", "LDM"
LINE "037", "215", "0xD7", "Alive Counter Security [2]", "1", "0x1", "ACSM"
LINE "038", "216", "0xD8", "CLU1 VDA (4)", "37", "0x25", "SC_VDA / RSC_VDA"
LINE "039", "225", "0xE1", "Wheel torque brake (4)", "41", "0x29", "EHB3"
LINE "040", "226", "0xE2", "Status central locking BFT [11]", "0", "0x0", "JBBF"
LINE "041", "227", "0xE3", "CLU2 VDA (4)", "37", "0x25", "SC_VDA / RSC_VDA"
LINE "042", "230", "0xE6", "Status central locking BFTH [11]", "0", "0x0", "JBBF"
LINE "043", "234", "0xEA", "Status central locking FAT [11]", "0", "0x0", "JBBF"
LINE "044", "238", "0xEE", "Central locking status FATH [11]", "0", "0x0", "JBBF"
LINE "045", "242", "0xF2", "Status central locking HK [13]", "0", "0x0", "JBBF"
LINE "046", "244", "0xF4", "CLU3 VDA (3)", "37", "0x25", "RSC_VDA"
LINE "047", "247", "0xF7", "lateral dynamics ARS VDM [3]", "35", "0x23", "ARS_Modul"
LINE "048", "249", "0xF9", "Vertical dynamics VDM ARS [3]", "57", "0x39", "VDM"
LINE "049", "250", "0xFA", "Control window lifter FAT [10]", "114", "0x72", "FRMFA"
LINE "050", "251", "0xFB", "Control window lifter BFT [5]", "0", "0x0", "JBBF"
LINE "051", "252", "0xFC", "Control window lifter FATH [5]", "0", "0x0", "JBBF"
LINE "052", "254", "0xFE", "Voltage level sensors [3]", "57", "0x39", "VDM"
LINE "053", "280", "0x118", "Exchange AFS DSC [10]", "22", "0x16", "AFS"
LINE "054", "286", "0x11E", "Control interventions DSC_AFS [6]", "41", "0x29", "EHB3"
LINE "055", "288", "0x120", "Status partial setpoints AFS DSC 2 [2]", "22", "0x16", "AFS"
LINE "056", "298", "0x12A", "Sensor data ROSE [2]", "1", "0x1", "ACSM_ROSE"
LINE "057", "300", "0x12C", "input data ROSE [4]", "41", "0x29", "EHB3"
LINE "058", "304", "0x130", "Terminal status [19]", "64", "0x40", "CAS / CAS"
LINE "059", "309", "0x135", "Control crash shutdown EKP [1]", "1", "0x1", "ACSM"
LINE "060", "336", "0x150", "Request 1 ACC [5]", "28", "0x1C", "LDM"
LINE "061", "339", "0x153", "Request 2 ACC [5]", "28", "0x1C", "LDM"
LINE "062", "345", "0x159", "Object data ACC [3]", "33", "0x21", "ACC_Sensor"
LINE "063", "348", "0x15C", "Status ACC [5]", "33", "0x21", "ACC_Sensor"
LINE "064", "351", "0x15F", "Requirement angle FFP [6]", "28", "0x1C", "LDM"
LINE "065", "357", "0x165", "CLU Status VDA (4)", "37", "0x25", "SC_VDA / RSC_VDA"
LINE "066", "370", "0x172", "Acknowledgment request combination [1]", "98", "0x62", "CHAMP_M_ASK2 / CCC_GW"
LINE "067", "373", "0x175", "Display motor data [1]", "18", "0x12", "DME1 / DDE1"
LINE "068", "400", "0x190", "display ACC [13]", "28", "0x1C", "LDM"
LINE "069", "403", "0x193", "display ACC DCC (5)", "41", "0x29", "EHB3 / DXC_RB / DSC_CT"
LINE "070", "403", "0x193", "display ACC DCC (5)", "28", "0x1C", "LDM"
LINE "071", "404", "0x194", "Operation cruise control / ACC [13]", "2", "0x2", "SZL_LWS"
LINE "072", "405", "0x195", "Operation push button MSA [2]", "120", "0x78", "IHKA"
LINE "073", "408", "0x198", "Operation gear selector switch 2 [3]", "94", "0x5E", "GWS"
LINE "074", "414", "0x19E", "Status DSC K-CAN [19]", "41", "0x29", "EHB3"
LINE "075", "416", "0x1A0", "Speed ​​K-CAN [14]", "41", "0x29", "EHB3"
LINE "076", "418", "0x1A2", "Gear data 2 [6]", "24", "0x18", "EGS_EL"
